"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
4627356403979728,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Calendario de Actividades Escolares 2021-2/2022-1 

Descárgalo en PDF: https://bit.ly/3bFLHMF",0,"01/31/2022 17:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02gMR3GqnefWPb6WCnzyJ4UarNy4S5Lj7TzGn3aqWhw5u3yR5XXKtmgKgoujXq6z1Ll,0,0,Foto,,,,,Total,381,333,38,28,0,10,21,3,10,8,,,,,,
4630081753707193,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos FIM:",0,"02/01/2022 12:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02jD5zzHim1BLam34LFFfW5L4sZJHQQGSkAVQQLycGTXqCL6C2WmPV6zzXwp8ZNbQbl,0,0,Foto,,,,,Total,70,65,18,10,4,4,7,6,1,,,,,,,
4630231533692215,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/01/2022 13:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0B4yqNB3p6MckaSxEPZuqJEHccQL8L1SsmpEvJy18Ad9LRBgqtqi1U6G7kiBNYFsfl,0,0,Foto,,,,,Total,47,44,3,1,0,2,0,,,,,,,,,
4630232710358764,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/01/2022 13:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid035UjVSmoX4WUYh4ZH7pko33wGT2PQQ5Te6Q3j9jpyFLebJYAZtqy7jRydjTKmfAmBl,0,0,Foto,,,,,Total,22,22,0,0,0,0,0,,,,,,,,,
4632781423437226,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos de nuevo ingreso FIM, ya  pueden inscribirse en el sistema de Servicio Social, en los talleres de febrero, al inicio de cada mes se irán habilitando los demás, recuerden que solo tienen que asistir a uno de los 8, cada taller tiene cupo de 150 alumnos, en esta misma página en los comentarios publicaremos el enlace de acceso de las sesiones de blackboard, un día antes de cada taller. Gracias, dudas o comentarios al correo ssc.fim@uabc.edu.mx",0,"02/02/2022 08:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0EJGxskRJFJFvB4zhNdfUCp4HxXgsz8FrYwAmEwU4qdQ8oq4Pey8ecLLZo7cmwQVql,0,0,Foto,,,,,Total,525,471,17,8,5,4,33,29,4,,,,,,,
4636244846424217,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te invitamos a celebrar los 65 eventos gratuitos por el 65 aniversario de UABC. La FIM presenta la cápsula ""Ingenio en Ingeniería"" el 10 de febrero. Participa 👍🏻
#lafimcercadeti",0,"02/03/2022 09:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0XzdeURRF4kU9jPAiJoCUWsnr8o71e8zsUvbVw7jXoqupqhD1EwJ9vfgqPDx9i8mDl,0,0,Foto,,,,,Total,27,27,9,8,0,1,0,,,,,,,,,
4637084783006890,422553107793433,"Facultad de Ingeniería UABC Mexicali","Alas para Volar | FundacionUABC","Beca Alas, Oportunidades para Volar - tiene como objetivo principal apoyar a alumnos que deseen realizar un intercambio internacional, que no cuenten con las condiciones económicas para realizar una estancia de un semestre en alguna de las universidades de todo el mundo que la UABC tiene convenio, permitiendo que los estudiantes enriquezcan su formación en una nueva dimensión internacional.

Enlace a la convocatoria https://fundacionuabc.org/a-quien-apoyamos/alas-para-volar/

Beca Prohibido Rendirse - tiene como objetivo otorgar un apoyo económico a los alumnos de UABC que se encuentran en una situación económica desfavorable para solventar gastos escolares y de manutención. 

Enlace a la convocatoria: https://fundacionuabc.org/a-quien-apoyamos/beca-prohibido-rendirse/

Brindando Acceso - tiene como objetivo el otorgar equipos de cómputo portátil a estudiantes de la UABC, sobresalientes académicamente y de bajos recursos económicos. 

Enlace a la convocatoria https://fundacionuabc.org/que-hacemos/brindando-acceso/",0,"02/03/2022 15:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02bPRnpQYxZCvRajQoTq5S4PYRx7GibH1kC3pt4Mb7ukana2kabjxdas8ozRzRXiRVl,0,0,Enlace,,,,,Total,52,51,1,1,0,0,1,,,1,,,,,,
4639837202731648,422553107793433,"Facultad de Ingeniería UABC Mexicali","De competencias","Atención comunidad FIM se hace de su conocimiento que ya está disponible la convocatoria para examen de competencias en la página de ingeniería. 

https://ingenieria.mxl.uabc.mx/index.php/2013-11-21-02-04-03/de-competencias",0,"02/04/2022 11:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0LeCqYY81vjTxsee2diFr2bxXgyYvBStPvbF9P9mypJFc5jHUnsFwxXbBJxrujoKUl,0,0,Enlace,,,,,Total,60,55,5,2,1,2,4,2,,2,,,,,,
4640496009332434,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Beca Alas, Oportunidades para Volar - tiene como objetivo principal apoyar a alumnos que deseen realizar un intercambio internacional, que no cuenten con las condiciones económicas para realizar una estancia de un semestre en alguna de las universidades de todo el mundo que la UABC tiene convenio, permitiendo que los estudiantes enriquezcan su formación en una nueva dimensión internacional.

Enlace a la convocatoria https://fundacionuabc.org/a-quien-apoyamos/alas-para-volar/

Beca Prohibido Rendirse - tiene como objetivo otorgar un apoyo económico a los alumnos de UABC que se encuentran en una situación económica desfavorable para solventar gastos escolares y de manutención. 

Enlace a la convocatoria: https://fundacionuabc.org/a-quien-apoyamos/beca-prohibido-rendirse/

Brindando Acceso - tiene como objetivo el otorgar equipos de cómputo portátil a estudiantes de la UABC, sobresalientes académicamente y de bajos recursos económicos. 

Enlace a la convocatoria https://fundacionuabc.org/que-hacemos/brindando-acceso/",0,"02/04/2022 17:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid06ipCUDNCVPgeUwiNqCf58TjQ8XooACYm7hWPrndeNeJP3a31ceu1qj9f2dczqXdBl,0,0,Foto,,,,,Total,353,326,12,5,0,7,14,4,7,3,,,,,,
4651666531548715,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/08/2022 10:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02fmER2Av6FBewMwnW4Eadc41PRQLHn4WS7ooqRe1qaciQi1axs7ugGPP4sdYqykaBl,0,0,Foto,,,,,Total,25,25,1,0,0,1,0,,,,,,,,,
4652021104846591,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/08/2022 13:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0oCqBLLXabVZs2T3LkyiHFWCF6fjieUkm4t5os9oGa3UJ3YQyf3tC4J6UsY17pmKpl,0,0,Foto,,,,,Total,26,26,3,3,0,0,0,,,,,,,,,
4655254274523274,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/1865543320393799/posts/3153202774961174/,0,"02/09/2022 15:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Cotd5SRZuaBDihepP21uieQfaHdoLnGDSCZcEQNNLo5oRi6gi6CkHPywa62F9WTfl,0,1,Foto,,,,,Total,39,39,3,2,0,1,2,1,1,,,,,,,
4657785257603509,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"En el marco del 65 aniversario de la UABC, te invitamos a participar en este evento de la FIM.

#SoyFIM  #SoyUABC #lafimcercadeti 

Liga de acceso al evento:
bit.ly/UABC654
https://meet.google.com/hom-qjbn-zja",0,"02/10/2022 11:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0mpTF2QgZ9sNYvqczXrS4DL45DKEionwBDN2zeULXZNcXKG19GTMuwpgThUHGnpvil,0,0,Foto,,,,,Total,42,41,4,2,0,2,0,,,,,,,,,
4658651467516888,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/349586429220665/posts/1088626458649988/,0,"02/10/2022 18:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid034T72S7iaB2vxCyxYiWVYECW9Hk3PXsgsjUkXno52WPMNf4W17g7qvFhQvjCdRVuzl,0,1,Foto,,,,,Total,109,100,31,28,0,3,3,3,,,,,,,,
4660619407320094,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/11/2022 09:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid035t72oNxPa8r7VkHyUFKpBtWWRgm32pn2cbvhTNbvhes8jiTWb88BGbpEtZ28rsezl,0,0,Foto,,,,,Total,26,26,6,6,0,0,0,,,,,,,,,
4660654587316576,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Lograr la igualdad sustantiva para las mujeres en la Ciencia, la Tecnología, las Ingenierías y las Matemáticas (#STEM), es uno de los desafíos contemporáneos de las instituciones educativas.
Día Internacional de las Mujeres, las Jóvenes y las Niñas en la Ciencia.
Nuestro reconocimiento a su labor y deseamos que cada vez sean más.
Felicidades 👍🏻👩‍🔬👩🏻‍💻👷‍♀️👩‍⚕️
 #MujeresEnLaCiencia #MujeresEnLaIngeniería #HazloComoNiña #lafimcercadeti #SoyFIM",0,"02/11/2022 09:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid07jTdbp25BYMWo3AE8jcjDJjLMietA1zM7DDat8bHGDzuJLXCZ7xJsGUYDU41gen3l,0,0,Foto,,,,,Total,100,87,67,49,0,18,1,1,,,,,,,,
4661555130559855,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/11/2022 16:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0RbkkUALcKaNmVivPjYgSdT7iz9ZPGCUC7uFcfH7fYoLbnetNewYcW8rK5CsZqgdCl,0,0,Foto,,,,,Total,32,30,13,11,0,2,1,,1,,,,,,,
4670236693025032,422553107793433,"Facultad de Ingeniería UABC Mexicali","De competencias","Atención comunidad FIM se hace de su conocimiento que ya está disponible la convocatoria para examen de competencias en la página de ingeniería. 

https://ingenieria.mxl.uabc.mx/index.php/2013-11-21-02-04-03/de-competencias",0,"02/14/2022 14:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0JKsmG2A8BwGs3Lzgq2dCV96UJpD2RUPBD2uAowpt58fHDZ5NTFwUnaSK5RmQPt8dl,0,0,Enlace,,,,,Total,32,31,0,0,0,0,0,,,,,,,,,
4670515152997186,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/14/2022 17:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0v7dffN3ZYvNnquccA3WqVj32duLkA3EewSffNi75dzNxYhWv5GHsKuLmp1rnDZT9l,0,0,Foto,,,,,Total,90,70,27,21,3,3,3,3,,,,,,,,
4672551016126933,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Comunidad FIM‼ 📣

Taller miércoles 16/02 a las 10 a.m.
https://us.bbcollab.com/guest/1306b75239b843f98e1735d1ac057b27

Taller miércoles 16/02 a las 4 p.m.
https://us.bbcollab.com/guest/cc94d59e6c314c1cad5f07c683447410",0,"02/15/2022 08:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02efnH3f48ho96mGF3R2NGGrzHP7peBhdzt1Y2pjHtaxjaNVSLb4WwZD12Q4uBCWrSl,0,0,Foto,,,,,Total,381,337,45,19,17,9,16,16,,,,,,,,
4675823475799687,422553107793433,"Facultad de Ingeniería UABC Mexicali","De competencias","Atención comunidad FIM se hace de su conocimiento que ya está disponible la convocatoria para examen de competencias en la página de ingeniería. 

https://ingenieria.mxl.uabc.mx/index.php/2013-11-21-02-04-03/de-competencias",0,"02/16/2022 10:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid03JVKJAmUZxWsRYDmN9sFQq6Akm5fLRY8vBW5CYgYcNiM7zvkR7QVeFhtwNonJqdZl,0,0,Enlace,,,,,Total,30,30,0,0,0,0,0,,,,,,,,,
4676555865726448,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/16/2022 15:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0c4doH9m7S49X4ZTqpbF88GTvvrNxb5hryanDiQ4f9MyWifWiFpySDGSZd6ECbHKsl,0,0,Foto,,,,,Total,30,30,1,0,0,1,1,1,,,,,,,,
4676573639058004,422553107793433,"Facultad de Ingeniería UABC Mexicali","Convocatoria del Verano 2022 - Programa Delfín","ABIERTA LA CONVOCATORIA
al “XXVII Verano de la Investigación Científica del Pacífico 2022”

https://www.programadelfin.org.mx/sitio/estudiantes-verano-convocatoria2022.php",0,"02/16/2022 16:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02EMSbWQQbjumcALFWf8dPtZRZU2LGVNMdth1ZFPQ4Utk4ZJMwhey1CdNd2LExcbKol,0,0,Enlace,,,,,Total,27,27,0,0,0,0,1,,,1,,,,,,
4676797602368941,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","Bolsa de Trabajo:

https://www.facebook.com/1428471490787415/posts/2790997837868100/",0,"02/16/2022 17:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02BF8rVoLh15KCMbwhbJMTnER1JqdshnsbJwoiL15pzDy1aELw9sEvD5Yx8sWPu7Cdl,0,1,Foto,,,,,Total,37,37,3,2,1,0,3,2,1,,,,,,,
4691016187613749,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Próximamente, te invitamos a participar 👍🏻",0,"02/21/2022 08:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02RgT4Tetkoyt8Ckoe297pHvDp7QqBeZRh9dnNeFxuoXHwfGatEpG78ViLHzjQwtdcl,0,0,Foto,,,,,Total,51,49,18,14,1,3,0,,,,,,,,,
4691396694242365,422553107793433,"Facultad de Ingeniería UABC Mexicali","De competencias","Atención comunidad FIM se hace de su conocimiento que ya está disponible la convocatoria para examen de competencias en la página de ingeniería. Cierra el día 24 de febrero. Gracias. 

https://ingenieria.mxl.uabc.mx/index.php/2013-11-21-02-04-03/de-competencias",0,"02/21/2022 10:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0HZY7GyNj7WMptHYNcsmBKkCHsuRjib6zwRmtTnijwuXzJ27xShGZjyczKnXXiuqAl,0,0,Enlace,,,,,Total,32,32,1,1,0,0,0,,,,,,,,,
4703372906378077,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"02/25/2022 11:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0323kbyWg9aCXcfAKJUU1UVnWiUM7qJJEUCCS9MnUc7LNxWy5m17JFRHNBNPxq89tol,0,0,Foto,,,,,Total,29,29,0,0,0,0,0,,,,,,,,,
4703387913043243,422553107793433,"Facultad de Ingeniería UABC Mexicali","Boletín Informativo Facultad de Ingeniería","Tercer boletín FIM
#lafimcercadeti 

https://www.yumpu.com/s/NZxU8mQYe0ydIWER",0,"02/25/2022 11:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0MFb7aCeziUbcodLj4usa1GBxq4ci4jLqMdTa7to6z5Ti5aAznJH8oam1aCwTeWg1l,0,0,Enlace,,,,,Total,62,59,2,1,0,1,0,,,,,,,,,
4703777946337573,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Alumnos de nuevo ingreso a la FIM (tronco común), revisa los horarios para que asistas a la primera tutoría grupal del 1 al 7 de marzo, donde te daremos información importante, las sesiones serán en línea. ¡Te esperamos!",0,"02/25/2022 14:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid02vqZwBxxrcbqvgKbJtiuvDJK6cM6tC8YP2NJeUd2qK5qrbJGhvbi4qWtM7tasCpvsl,0,0,Foto,,,,,Total,69,67,0,0,0,0,4,3,1,,,,,,,
4703971862984848,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atenta invitación a los estudiantes a la Plática de Intercambio 2022-1 el día 4 de marzo a las 17:00. En ella resolveremos dudas de la convocatoria, documentación y el Lic. Gerardo hablará sobre la beca ALAS",0,"02/25/2022 16:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid04DnQ755VcaUUJbjwkqCDtVZrSYeCipq59Xk1Qxqvszj5vJzz3X23nkCot5Yg4dbPl,0,0,Foto,,,,,Total,274,228,18,5,6,7,2,2,,,,,,,,
4704156262966408,422553107793433,"Facultad de Ingeniería UABC Mexicali","Extensión de Plazo","Atención Alumnos FIM Convocatoria de extensión de plazo:
https://ingenieria.mxl.uabc.mx/index.php/extension-de-plazo",0,"02/25/2022 18:02",N/A,https://www.facebook.com/fimuabc/posts/pfbid0YzqmWSh7tUFHA8FrnEw4rnXjs5hkmnbkYjHiDYJLzAdxuFtvS5nooEQZNpQYWKpPl,0,0,Enlace,,,,,Total,33,33,0,0,0,0,0,,,,,,,,,
4714894298559271,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/01/2022 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Q46MkY4YHvxWuSKUDogKBRX9kknEvtr5ws9coHwAE7TPndDPZpj7gJwcuJAbvhu9l,0,0,Foto,,,,,Total,30,30,0,0,0,0,0,,,,,,,,,
4714895171892517,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/01/2022 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0kczhZWftiBtRmeE1cDP5vScS34EfdxU794csuVQHHV5fSbwCKobGq2JSBCRfMLa3l,0,0,Foto,,,,,Total,36,35,4,3,0,1,0,,,,,,,,,
4715312641850770,422553107793433,"Facultad de Ingeniería UABC Mexicali","Bases Convocatoria.pdf","¡NO TE QUEDES SIN TU CERTIFICACIÓN PROFESIONAL!

COURSERA y UABC queremos invitar a nuestros estudiantes a certificarse con las mejores empresas a nivel mundial. 
Al participar, no sólo obtendrás nuevos conocimientos y mejorarás tu perfil profesional, ¡también podrás validar créditos optativos por tu esfuerzo!

Ingresa al siguiente enlace para conocer las Bases Oficiales y la oferta educativa: https://drive.google.com/file/d/1ME4vYcNQyqmWJGTtm36NGrI7uJriW71-/view

¡Inscríbete y participa de forma gratuita! ➡️ https://forms.gle/niRzgA3eU5N3aZPT6",0,"03/01/2022 20:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0JGAQF8VndJBZHaqVgnCNNGDEubAAs2b92XzuRHws8R8SXnDa3i3NM1oxmLm4vbmpl,0,0,Enlace,,,,,Total,51,50,0,0,0,0,2,,,2,,,,,,
4717018201680214,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/02/2022 10:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0VemvGJXcAvsUJZuQtt9TUCEThNGFu7XnE4nrobuauiumf5WaJEfaJEXKfSXXoqVHl,0,0,Foto,,,,,Total,72,69,38,22,7,9,1,,1,,,,,,,
4722571454458222,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/254710164875890/posts/1774253732921518/,0,"03/04/2022 11:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02i6mAWvBWC9xs3GzrFDxQedfu9ezyAJEzBjnfii3ymMj7575gZtQh7nWrScBV5smal,0,1,Foto,,,,,Total,41,41,30,30,0,0,2,2,,,,,,,,
4722961904419177,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/254710164875890/posts/1774432872903604/,0,"03/04/2022 15:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02urtVWnFpnmuBkfdv98ZoXBmZoQiqPnxYQDCF1CYLASCcgY19kqb8TsRmeSs8tWzhl,0,1,Foto,,,,,Total,118,108,111,109,2,0,10,7,3,,,,,,,
4724730047575696,422553107793433,"Facultad de Ingeniería UABC Mexicali","Investigación y Posgrado FIM UABC","Te invitamos a seguir en Facebook la página de Investigación y Posgrado FIM UABC :

https://www.facebook.com/Investigaci%C3%B3n-y-Posgrado-FIM-UABC-101383645811035",0,"03/05/2022 06:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0zGzDfG1VFHnBkvY6SPDQqD12cyX3MAr64woEGHSL18dNYxeoqkGYirSDWbdVQMnHl,0,0,Enlace,,,,,Total,36,36,0,0,0,0,1,1,,,,,,,,
4725802097468491,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Enlace de acceso:
https://meet.google.com/ubq-kvep-phi?authuser=0",0,"03/05/2022 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Xq8WhZrgs7DrhYKxJj5DwG1uw91VdMRzxcoSLctEJLpkSFxanvs9c1EBwR72X6zVl,0,0,Foto,,,,,Total,36,36,11,11,0,0,1,,1,,,,,,,
